"","x"
"587","LINC01358"
"588","FGGY"
"589","HOOK1"
"590","CYP2J2"
"591","NFIA"
"592","TM2D1"
"593","AC099791.2"
"594","PATJ"
"595","USP1"
"596","DOCK7"
"597","ATG4C"
"598","ALG6"
"599","ITGB3BP"
"600","EFCAB7"
"601","PGM1"
"602","RAVER2"
"603","JAK1"
"604","AL357078.1"
"605","AK4"
"606","DNAJC6"
"607","LEPROT"
"608","LEPR"
"609","PDE4B"
"610","WDR78"
"611","MIER1"
"612","SLC35D1"
"613","IL23R"
"614","IL12RB2"
"615","SERBP1"
"616","GADD45A"
"617","GNG12"
"618","WLS"
"619","DEPDC1"
"620","LRRC40"
"621","SRSF11"
"622","ANKRD13C"
"623","HHLA3"
"624","CTH"
"625","ZRANB2"
"626","LRRIQ3"
"627","FPGT"
"628","CRYZ"
"629","TYW3"
"630","SLC44A5"
"631","ACADM"
"632","RABGGTB"
"633","ST6GALNAC3"
"634","PIGK"
"635","AK5"
"636","AC118549.1"
"637","USP33"
"638","MIGA1"
"639","NEXN"
"640","FUBP1"
"641","DNAJB4"
"642","AC103591.3"
"643","IFI44L"
"644","IFI44"
"645","LINC01725"
"646","TTLL7"
"647","AL359504.2"
"648","PRKACB"
"649","RPF1"
"650","GNG5"
"651","SPATA1"
"652","CTBS"
"653","SSX2IP"
"654","LPAR3"
"655","MCOLN2"
"656","WDR63"
"657","MCOLN3"
"658","SYDE2"
"659","C1orf52"
"660","BCL10"
"661","CYR61"
"662","ZNHIT6"
"663","ODF2L"
"664","AL049597.2"
"665","SH3GLB1"
"666","SELENOF"
"667","HS2ST1"
"668","LMO4"
"669","PKN2"
"670","GTF2B"
"671","KYAT3"
"672","RBMXL1"
"673","GBP3"
"674","GBP1"
"675","GBP2"
"676","GBP4"
"677","AC099063.4"
"678","GBP5"
"679","LRRC8B"
"680","LRRC8C-DT"
"681","LRRC8C"
"682","LRRC8D"
"683","ZNF326"
"684","ZNF644"
"685","CDC7"
"686","TGFBR3"
"687","BRDT"
"688","EPHX4"
"689","BTBD8"
"690","GLMN"
"691","RPAP2"
"692","GFI1"
"693","EVI5"
"694","RPL5"
"695","FAM69A"
"696","MTF2"
"697","TMED5"
"698","CCDC18"
"699","DR1"
"700","FNBP1L"
"701","BCAR3"
"702","DNTTIP2"
"703","GCLM"
"704","ABCD3"
"705","F3"
"706","SLC44A3"
"707","CNN3"
"708","ALG14"
"709","RWDD3"
"710","PTBP2"
"711","DPYD"
"712","SNX7"
"713","PLPPR5"
"714","FRRS1"
"715","AGL"
"716","AC118553.1"
"717","SLC35A3"
"718","AC118553.2"
"719","MFSD14A"
"720","SASS6"
"721","TRMT13"
"722","LRRC39"
"723","DBT"
"724","RTCA-AS1"
"725","RTCA"
"726","CDC14A"
"727","VCAM1"
"728","EXTL2"
"729","AC104506.1"
"730","SLC30A7"
"731","DPH5"
"732","AC093157.1"
"733","AL109741.1"
"734","S1PR1"
"735","RNPC3"
"736","AMY2B"
"737","PRMT6"
"738","VAV3"
"739","SLC25A24"
"740","AL359258.2"
"741","FAM102B"
"742","HENMT1"
"743","PRPF38B"
"744","FNDC7"
"745","STXBP3"
"746","AL449266.1"
"747","GPSM2"
"748","CLCC1"
"749","WDR47"
"750","TAF13"
"751","AL356488.3"
"752","TMEM167B"
"753","AL356488.2"
"754","KIAA1324"
"755","SARS"
"756","CELSR2"
"757","PSRC1"
"758","SORT1"
"759","PSMA5"
"760","ATXN7L2"
"761","CYB561D1"
"762","AMIGO1"
"763","GNAI3"
"764","AMPD2"
"765","GSTM4"
"766","GSTM2"
"767","GSTM1"
"768","AC000032.1"
"769","GSTM3"
"770","CSF1"
"771","AHCYL1"
"772","STRIP1"
"773","AL160006.1"
"774","KCNC4"
"775","RBM15-AS1"
"776","RBM15"
"777","SLC16A4"
"778","AL355488.1"
"779","LAMTOR5"
"780","KCNA2"
"781","AL365361.1"
"782","KCNA3"
"783","CD53"
"784","AL360270.1"
"785","LRIF1"
"786","AL360270.3"
"787","DRAM2"
"788","CEPT1"
"789","AL355816.2"
"790","DENND2D"
"791","CHI3L2"
"792","PIFO"
"793","OVGP1"
"794","WDR77"
"795","ATP5PB"
"796","C1orf162"
"797","TMIGD3"
"798","ADORA3"
"799","RAP1A"
"800","INKA2"
"801","DDX20"
"802","CTTNBP2NL"
"803","WNT2B"
"804","ST7L"
"805","CAPZA1"
"806","MOV10"
"807","RHOC"
"808","PPM1J"
"809","SLC16A1"
"810","SLC16A1-AS1"
"811","AL357055.3"
"812","LRIG2"
"813","MAGI3"
"814","PHTF1"
"815","RSBN1"
"816","AL137856.1"
"817","PTPN22"
"818","BCL2L15"
"819","AP4B1"
"820","DCLRE1B"
"821","HIPK1-AS1"
"822","HIPK1"
"823","SYT6"
"824","TRIM33"
"825","BCAS2"
"826","DENND2C"
"827","NRAS"
