"","x"
"414","LINC01778"
"415","SDC3"
"416","PUM1"
"417","NKAIN1"
"418","SNRNP40"
"419","ZCCHC17"
"420","FABP3"
"421","SERINC2"
"422","TINAGL1"
"423","PEF1"
"424","AC114488.3"
"425","COL16A1"
"426","ADGRB2"
"427","SPOCD1"
"428","AL354919.1"
"429","AL136115.2"
"430","PTP4A2"
"431","KHDRBS1"
"432","AL445248.1"
"433","TMEM39B"
"434","KPNA6"
"435","TXLNA"
"436","CCDC28B"
"437","AL049795.1"
"438","IQCC"
"439","DCDC2B"
"440","TMEM234"
"441","EIF3I"
"442","FAM167B"
"443","LCK"
"444","HDAC1"
"445","MARCKSL1"
"446","TSSK3"
"447","FAM229A"
"448","BSDC1"
"449","ZBTB8B"
"450","ZBTB8A"
"451","ZBTB8OS"
"452","RBBP4"
"453","SYNC"
"454","AC114489.1"
"455","KIAA1522"
"456","YARS"
"457","S100PBP"
"458","FNDC5"
"459","HPCA"
"460","TMEM54"
"461","RNF19B"
"462","AL020995.1"
"463","AK2"
"464","AZIN2"
"465","TRIM62"
"466","AL662907.3"
"467","ZNF362"
"468","AL513327.3"
"469","AL513327.1"
"470","PHC2"
"471","ZSCAN20"
"472","CSMD2"
"473","C1orf94"
"474","SMIM12"
"475","GJA4"
"476","DLGAP3"
"477","AC114490.3"
"478","AC114490.2"
"479","ZMYM6"
"480","ZMYM1"
"481","AL590434.1"
"482","SFPQ"
"483","ZMYM4"
"484","ZMYM4-AS1"
"485","KIAA0319L"
"486","NCDN"
"487","AC004865.2"
"488","TFAP2E"
"489","PSMB2"
"490","C1orf216"
"491","CLSPN"
"492","AGO4"
"493","AGO1"
"494","AL139286.2"
"495","AGO3"
"496","TEKT2"
"497","ADPRHL2"
"498","COL8A2"
"499","TRAPPC3"
"500","MAP7D1"
"501","THRAP3"
"502","SH3D21"
"503","EVA1B"
"504","AL591845.1"
"505","STK40"
"506","LSM10"
"507","OSCP1"
"508","MRPS15"
"509","CSF3R"
"510","GRIK3"
"511","AL031430.1"
"512","LINC01137"
"513","ZC3H12A"
"514","MEAF6"
"515","SNIP1"
"516","DNALI1"
"517","GNL2"
"518","C1orf109"
"519","CDCA8"
"520","EPHA10"
"521","MANEAL"
"522","YRDC"
"523","C1orf122"
"524","MTF1"
"525","INPP5B"
"526","SF3A3"
"527","FHL3"
"528","UTP11"
"529","POU3F1"
"530","AL139158.2"
"531","RRAGC"
"532","AL139260.1"
"533","MYCBP"
"534","AL139260.3"
"535","RHBDL2"
"536","AKIRIN1"
"537","NDUFS5"
"538","MACF1"
"539","BMP8A"
"540","PABPC4"
"541","HEYL"
"542","HPCAL4"
"543","PPIE"
"544","BMP8B"
"545","OXCT2"
"546","AL033527.5"
"547","TRIT1"
"548","MYCL"
"549","MFSD2A"
"550","CAP1"
"551","PPT1"
"552","RLF"
"553","AL050341.2"
"554","ZMPSTE24"
"555","COL9A2"
"556","SMAP2"
"557","ZFP69B"
"558","ZFP69"
"559","AL603839.3"
"560","EXO5"
"561","ZNF684"
"562","RIMS3"
"563","NFYC-AS1"
