"","x"
"557","HIVEP3"
"558","FOXJ3"
"559","RIMKLA"
"560","ZMYND12"
"561","PPCS"
"562","CCDC30"
"563","PPIH"
"564","AC098484.2"
"565","YBX1"
"566","CLDN19"
"567","P3H1"
"568","C1orf50"
"569","TMEM269"
"570","SVBP"
"571","ERMAP"
"572","AL512353.1"
"573","ZNF691"
"574","SLC2A1"
"575","SLC2A1-AS1"
"576","EBNA1BP2"
"577","TMEM125"
"578","TIE1"
"579","AL139289.2"
"580","CDC20"
"581","ELOVL1"
"582","MED8"
"583","SZT2"
"584","HYI"
"585","PTPRF"
"586","AL451062.3"
"587","KDM4A"
"588","KDM4A-AS1"
"589","ST3GAL3"
"590","ARTN"
"591","AL357079.1"
"592","IPO13"
"593","DPH2"
"594","ATP6V0B"
"595","B4GALT2"
"596","CCDC24"
"597","SLC6A9"
"598","AL139220.2"
"599","DMAP1"
"600","ERI3"
"601","RNF220"
"602","TMEM53"
"603","ARMH1"
"604","KIF2C"
"605","AL592166.1"
"606","RPS8"
"607","BEST4"
"608","PLK3"
"609","TCTEX1D4"
"610","BTBD19"
"611","PTCH2"
"612","EIF2B3"
"613","HECTD3"
"614","UROD"
"615","ZSWIM5"
"616","MUTYH"
"617","TOE1"
"618","TESK2"
"619","CCDC163"
"620","MMACHC"
"621","PRDX1"
"622","AKR1A1"
"623","NASP"
"624","CCDC17"
"625","GPBP1L1"
"626","TMEM69"
"627","IPP"
"628","MAST2"
"629","PIK3R3"
"630","POMGNT1"
"631","LURAP1"
"632","RAD54L"
"633","LRRC41"
"634","UQCRH"
"635","NSUN4"
"636","FAAH"
"637","MKNK1-AS1"
"638","MKNK1"
"639","MOB3C"
"640","ATPAF1"
"641","EFCAB14"
"642","LINC00853"
"643","PDZK1IP1"
"644","TAL1"
"645","AL135960.1"
"646","STIL"
"647","CMPK1"
"648","FOXD2-AS1"
"649","FOXD2"
"650","SLC5A9"
"651","AL109659.2"
"652","SPATA6"
"653","BEND5"
"654","ELAVL4"
"655","DMRTA2"
"656","FAF1"
"657","CDKN2C"
"658","RNF11"
"659","TTC39A"
"660","TTC39A-AS1"
"661","EPS15"
"662","OSBPL9"
"663","NRDC"
"664","AL050343.1"
"665","AL050343.2"
"666","RAB3B"
"667","TXNDC12"
"668","KTI12"
"669","BTF3L4"
"670","ZFYVE9"
"671","CC2D1B"
"672","ORC1"
"673","PRPF38A"
"674","TUT4"
"675","GPX7"
"676","SHISAL2A"
"677","COA7"
"678","ZYG11B"
"679","ECHDC2"
"680","SCP2"
"681","PODN"
"682","SLC1A7"
"683","CPT2"
"684","AL606760.2"
"685","C1orf123"
"686","AL606760.3"
"687","MAGOH"
"688","AL606760.1"
"689","LRP8"
"690","AC119428.2"
"691","NDC1"
"692","YIPF1"
"693","DIO1"
"694","HSPB11"
"695","LRRC42"
"696","TMEM59"
"697","TCEANC2"
"698","CYB5RL"
"699","MRPL37"
"700","SSBP3"
"701","SSBP3-AS1"
"702","ACOT11"
"703","MROH7"
"704","TTC4"
"705","PARS2"
"706","DHCR24"
"707","USP24"
"708","MIR4422HG"
"709","AC119674.1"
"710","AC119674.2"
"711","PLPP3"
"712","PRKAA2"
"713","DAB1"
"714","OMA1"
"715","TACSTD2"
"716","MYSM1"
"717","JUN"
"718","AC105277.1"
"719","LINC01358"
"720","AC093424.1"
"721","FGGY"
"722","HOOK1"
"723","CYP2J2"
"724","LINC01748"
"725","AC099792.1"
"726","NFIA"
"727","TM2D1"
"728","AC099791.2"
"729","PATJ"
"730","L1TD1"
"731","USP1"
"732","DOCK7"
"733","AC103923.1"
"734","ATG4C"
"735","FOXD3-AS1"
